timestamp,module,error_type,error_message,context
2025-07-02 14:02:13 UTC,inactivity_etl_pipeline,ValueError,No valid activity logs found or missing 'user_id' field. Aborting ETL.,Main ETL Pipeline Execution Failed
2025-07-02 14:44:10 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 14:44:10 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 14:44:10 UTC,governance_dashboard,FileNotFoundError,[Errno 2] No such file or directory: './data/reports/non_company_email_users_report.csv',Loading ./data/reports/non_company_email_users_report.csv
2025-07-02 15:05:04 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 15:05:04 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 15:05:04 UTC,governance_dashboard,FileNotFoundError,[Errno 2] No such file or directory: './data/reports/non_company_email_users_report.csv',Loading ./data/reports/non_company_email_users_report.csv
2025-07-02 15:30:25 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 15:30:25 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 15:30:25 UTC,governance_dashboard,FileNotFoundError,[Errno 2] No such file or directory: './data/reports/non_company_email_users_report.csv',Loading ./data/reports/non_company_email_users_report.csv
2025-07-02 15:31:49 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 15:31:49 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 15:31:49 UTC,governance_dashboard,FileNotFoundError,[Errno 2] No such file or directory: './data/reports/non_company_email_users_report.csv',Loading ./data/reports/non_company_email_users_report.csv
2025-07-02 15:32:53 UTC,test_module,ValueError,Test error message,Testing error logging
2025-07-02 15:34:00 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 15:34:00 UTC,governance_dashboard,KeyError,"""['vendor_name'] not in index""",Enrichment
2025-07-02 15:34:00 UTC,governance_dashboard,FileNotFoundError,[Errno 2] No such file or directory: './data/reports/non_company_email_users_report.csv',Loading ./data/reports/non_company_email_users_report.csv
2025-07-02 15:44:10 UTC,inactivity_etl_pipeline,KeyError,'user_id',Main ETL Pipeline Execution Failed
2025-07-02 15:45:03 UTC,governance_dashboard,FileNotFoundError,[Errno 2] No such file or directory: './data/reports/non_company_email_users_report.csv',Loading ./data/reports/non_company_email_users_report.csv
2025-07-02 18:41:43 UTC,inactivity_etl_pipeline,KeyError,'user_id',Main ETL Pipeline Execution Failed
