event_id,timestamp,event_type,resource_name,user_id,project_id,source_user_id,source_project_id
01JZDVMM6AG0WFP847DDWMBKMX,2025-07-05T17:55:09.190519Z,create,Company Users,152360,,151761,
01JZDVPY1534KP86SAPBKFCZQM,2025-07-05T17:56:25.157792Z,update,Company Users,152360,,151761,
01JZDXYG8VDFM8VQ73XCG4J5JK,2025-07-05T18:35:21.094628Z,update,Company Users,152360,,151761,
01JZDXZ939T9EVS56VP2AWJ84V,2025-07-05T18:35:47.004140Z,update,Company Users,152360,,151761,
01JZE56W3EY68ZCFYEHD8X5MHY,2025-07-05T20:42:24.270130Z,create,Company Users,152361,,151870,
01JZE56W3FMXB43JYESH9W7G82,2025-07-05T20:42:24.748377Z,update,Company Users,152361,,151870,
01JZE57WD5QJN8S2F3DJYHW85A,2025-07-05T20:42:57.261729Z,create,Company Users,152362,,151870,
01JZE57WG87T9K2B4ZGZXAYQNT,2025-07-05T20:42:57.616869Z,update,Company Users,152362,,151870,
01JZE5911YBWBG09SY0BRK6PDM,2025-07-05T20:43:35.100707Z,create,Company Users,152363,,151870,
01JZE59152HEYVB9A3FSWNEHFM,2025-07-05T20:43:35.504344Z,update,Company Users,152363,,151870,
01JZEFFK7B4EV6E4TXA5QV0K1B,2025-07-05T23:41:56.017223Z,create,Company Users,152364,,151870,
01JZEFFKKVVGGCYQHF2HB5AWG6,2025-07-05T23:41:56.374796Z,update,Company Users,152364,,151870,
01JZEFGDKSSDJFMFQ8M6FR09QQ,2025-07-05T23:42:22.729740Z,create,Company Users,152365,,151870,
01JZEFGDPXAX39VWAN4JCJ70X8,2025-07-05T23:42:23.048113Z,update,Company Users,152365,,151870,
01JZEGBK7N0KBQ7CM7X66T5V6M,2025-07-05T23:57:13.607269Z,create,Company Users,152366,,151870,
01JZEGBKGZ4Q134P4NNVY9WFJW,2025-07-05T23:57:14.041761Z,update,Company Users,152366,,151870,
mock_drawing_003,2024-01-10T12:00:00Z,drawing.created,Drawing,47,37632,,
mock_rfi_001,2024-01-01T12:00:00Z,rfi.created,RFI,151761,37624,,
mock_submittal_002,2024-01-05T12:00:00Z,submittal.updated,Submittal,151761,37624,,
